@epoch28   Train loss:692.0704681396485   Valid loss:687.418701171875    TIME:0.5904204845428467
@epoch29   Train loss:711.0611389160156   Valid loss:745.798095703125    TIME:0.6044712066650391
@epoch30   Train loss:740.4666046142578   Valid loss:690.2918823242187    TIME:0.57218337059021
@epoch31   Train loss:693.1845855712891   Valid loss:700.7054931640625    TIME:0.557234525680542
@epoch32   Train loss:855.171011352539   Valid loss:740.1082885742187    TIME:0.5598452091217041
@epoch33   Train loss:736.3537567138671   Valid loss:706.5101928710938    TIME:0.5715944766998291
@epoch34   Train loss:706.6119873046875   Valid loss:679.4997436523438    TIME:0.5580253601074219
@epoch35   Train loss:685.7757507324219   Valid loss:673.8753540039063    TIME:0.6081221103668213
@epoch36   Train loss:711.8513916015625   Valid loss:693.591064453125    TIME:0.6016891002655029
@epoch37   Train loss:703.1399993896484   Valid loss:686.4408935546875    TIME:0.5651350021362305
@epoch38   Train loss:684.3962860107422   Valid loss:659.6889526367188    TIME:0.5593216419219971
@epoch39   Train loss:682.5527923583984   Valid loss:682.3088256835938    TIME:0.5571668148040771
@epoch40   Train loss:674.6890197753906   Valid loss:716.2844360351562    TIME:0.5544586181640625
@epoch41   Train loss:731.000341796875   Valid loss:702.4071166992187    TIME:0.561044454574585
@epoch42   Train loss:684.8437805175781   Valid loss:660.5224609375    TIME:0.582634449005127
@epoch43   Train loss:723.6160339355469   Valid loss:744.7523071289063    TIME:0.5562474727630615
@epoch44   Train loss:721.1924194335937   Valid loss:673.4435180664062    TIME:0.5582637786865234
@epoch45   Train loss:673.6827850341797   Valid loss:662.9905639648438    TIME:0.5575077533721924
@epoch46   Train loss:677.863491821289   Valid loss:699.4727905273437    TIME:0.6098108291625977
@epoch47   Train loss:688.4686492919922   Valid loss:663.5026123046875    TIME:0.5902061462402344
@epoch48   Train loss:692.8639739990234   Valid loss:662.0971557617188    TIME:0.6052267551422119
@epoch49   Train loss:665.334848022461   Valid loss:654.6907958984375    TIME:0.6116266250610352
@epoch50   Train loss:674.1664154052735   Valid loss:667.7646850585937    TIME:0.6049935817718506
@epoch51   Train loss:691.1527770996094   Valid loss:726.1113159179688    TIME:0.5579888820648193
@epoch52   Train loss:687.4787689208985   Valid loss:653.5164184570312    TIME:0.5966005325317383
@epoch53   Train loss:702.9838287353516   Valid loss:704.7131103515625    TIME:0.6057465076446533
@epoch54   Train loss:699.2849182128906   Valid loss:659.5697387695312    TIME:0.573556661605835
@epoch55   Train loss:723.3753784179687   Valid loss:728.92138671875    TIME:0.5509917736053467
@epoch56   Train loss:724.622802734375   Valid loss:676.2294189453125    TIME:0.5494403839111328
@epoch57   Train loss:668.8548889160156   Valid loss:644.8065795898438    TIME:0.5499279499053955
@epoch58   Train loss:670.0336090087891   Valid loss:680.9370483398437    TIME:0.5501739978790283
@epoch59   Train loss:669.6576629638672   Valid loss:645.0946411132812    TIME:0.5737512111663818
@epoch60   Train loss:656.8685455322266   Valid loss:646.0770263671875    TIME:0.5826292037963867
@epoch61   Train loss:652.3181976318359   Valid loss:646.5582641601562    TIME:0.5820910930633545
@epoch62   Train loss:653.2163269042969   Valid loss:631.6890258789062    TIME:0.5503199100494385
@epoch63   Train loss:653.1617218017578   Valid loss:633.1323608398437    TIME:0.6030824184417725
@epoch64   Train loss:640.3127014160157   Valid loss:625.8692993164062    TIME:0.6356022357940674
@epoch65   Train loss:679.23779296875   Valid loss:658.6935546875    TIME:0.557520866394043
@epoch66   Train loss:656.1435791015625   Valid loss:636.0469970703125    TIME:0.5730526447296143
@epoch67   Train loss:671.9669250488281   Valid loss:704.2201049804687    TIME:0.5967059135437012
@epoch68   Train loss:687.6643615722656   Valid loss:661.122509765625    TIME:0.5620365142822266
@epoch69   Train loss:658.3292877197266   Valid loss:636.071533203125    TIME:0.5838761329650879
@epoch70   Train loss:642.0633392333984   Valid loss:628.7333129882812    TIME:0.5890331268310547
@epoch71   Train loss:643.036019897461   Valid loss:680.7246215820312    TIME:0.598604679107666
@epoch72   Train loss:667.0144470214843   Valid loss:639.05224609375    TIME:0.562946081161499
@epoch73   Train loss:657.837548828125   Valid loss:648.7269653320312    TIME:0.5622143745422363
@epoch74   Train loss:681.7433471679688   Valid loss:648.5982543945313    TIME:0.5630650520324707
@epoch75   Train loss:654.9445953369141   Valid loss:639.8603393554688    TIME:0.5590159893035889
@epoch76   Train loss:646.6873260498047   Valid loss:624.6484619140625    TIME:0.5645325183868408
@epoch77   Train loss:658.0256256103515   Valid loss:642.8036987304688    TIME:0.5685989856719971
@epoch78   Train loss:651.3566619873047   Valid loss:648.2386596679687    TIME:0.5629265308380127
@epoch79   Train loss:668.1377716064453   Valid loss:637.5231567382813    TIME:0.5579533576965332
@epoch80   Train loss:714.3579956054688   Valid loss:685.4356323242188    TIME:0.5553991794586182
@epoch81   Train loss:660.5103546142578   Valid loss:636.3019165039062    TIME:0.5522115230560303
@epoch82   Train loss:642.5295806884766   Valid loss:618.690576171875    TIME:0.5526611804962158
@epoch83   Train loss:656.3061828613281   Valid loss:662.3278564453125    TIME:0.5531649589538574
@epoch84   Train loss:647.4806549072266   Valid loss:621.39951171875    TIME:0.5666830539703369
@epoch85   Train loss:630.8625671386719   Valid loss:614.2262817382813    TIME:0.5637915134429932
@epoch86   Train loss:633.8538543701172   Valid loss:615.3653442382813    TIME:0.5633347034454346
@epoch87   Train loss:650.1168823242188   Valid loss:667.5961303710938    TIME:0.5685217380523682
@epoch88   Train loss:643.1546325683594   Valid loss:618.7250854492188    TIME:0.5600812435150146
@epoch89   Train loss:646.8636413574219   Valid loss:650.6288940429688    TIME:0.5732848644256592
@epoch90   Train loss:637.470849609375   Valid loss:608.9754150390625    TIME:0.5641148090362549
@epoch91   Train loss:676.4954498291015   Valid loss:683.6855834960937    TIME:0.5856049060821533
@epoch92   Train loss:678.4093444824218   Valid loss:695.9396362304688    TIME:0.5651979446411133
@epoch93   Train loss:672.2745849609375   Valid loss:646.4638305664063    TIME:0.5811245441436768
@epoch94   Train loss:644.5693420410156   Valid loss:625.4698120117188    TIME:0.5616593360900879
@epoch95   Train loss:646.6100616455078   Valid loss:627.7049926757812    TIME:0.568673849105835
@epoch96   Train loss:628.0358428955078   Valid loss:639.2607177734375    TIME:0.5772805213928223
@epoch97   Train loss:623.7594604492188   Valid loss:609.5310180664062    TIME:0.6017651557922363
@epoch98   Train loss:623.533822631836   Valid loss:613.2180786132812    TIME:0.5933563709259033
@epoch99   Train loss:621.7532775878906   Valid loss:612.5627319335938    TIME:0.6048414707183838
@epoch100   Train loss:616.0002899169922   Valid loss:594.8303100585938    TIME:0.6113526821136475
@epoch101   Train loss:621.8325378417969   Valid loss:607.88720703125    TIME:0.6047885417938232
@epoch102   Train loss:640.4855926513671   Valid loss:630.6078979492188    TIME:0.5717883110046387
@epoch103   Train loss:640.1763885498046   Valid loss:636.1679565429688    TIME:0.6040396690368652
@epoch104   Train loss:628.2297790527343   Valid loss:595.4264892578125    TIME:0.6140096187591553
@epoch105   Train loss:627.665673828125   Valid loss:606.2052001953125    TIME:0.6030135154724121
@epoch106   Train loss:610.8465087890625   Valid loss:598.5793212890625    TIME:0.611940860748291
@epoch107   Train loss:603.90849609375   Valid loss:600.20546875    TIME:0.564629077911377
@epoch108   Train loss:608.9671966552735   Valid loss:593.4677734375    TIME:0.5609352588653564
@epoch109   Train loss:607.8079071044922   Valid loss:594.864453125    TIME:0.5597240924835205
@epoch110   Train loss:612.2000518798828   Valid loss:610.7682739257813    TIME:0.5671627521514893
@epoch111   Train loss:627.9371520996094   Valid loss:620.1386962890625    TIME:0.5624055862426758
@epoch112   Train loss:639.5232879638672   Valid loss:608.81201171875    TIME:0.5584244728088379
@epoch113   Train loss:664.9865905761719   Valid loss:646.72763671875    TIME:0.5612590312957764
@epoch114   Train loss:629.3099426269531   Valid loss:601.9995483398437    TIME:0.5593395233154297
@epoch115   Train loss:609.0149444580078   Valid loss:597.6934204101562    TIME:0.570807695388794
@epoch116   Train loss:611.536752319336   Valid loss:590.2220458984375    TIME:0.585291862487793
@epoch117   Train loss:611.2087188720703   Valid loss:591.5348266601562    TIME:0.559964656829834
