@epoch130   Train loss:330.81725006103517   Valid loss:333.87476806640626    TIME:1.3596127033233643
@epoch131   Train loss:329.17646484375   Valid loss:335.12293701171876    TIME:1.3299009799957275
@epoch132   Train loss:330.5933807373047   Valid loss:333.17767944335935    TIME:1.320667028427124
@epoch133   Train loss:330.1263198852539   Valid loss:334.65724487304686    TIME:1.304290533065796
@epoch134   Train loss:338.710302734375   Valid loss:341.6499816894531    TIME:1.309948444366455
@epoch135   Train loss:338.1269989013672   Valid loss:336.16945190429686    TIME:1.299546241760254
@epoch136   Train loss:334.91440734863284   Valid loss:332.8216186523438    TIME:1.3135104179382324
@epoch137   Train loss:332.2431915283203   Valid loss:332.6921142578125    TIME:1.3050274848937988
@epoch138   Train loss:331.36817474365233   Valid loss:332.41290283203125    TIME:1.297348976135254
@epoch139   Train loss:330.1550552368164   Valid loss:332.049853515625    TIME:1.2962925434112549
@epoch140   Train loss:330.73147735595705   Valid loss:333.9748474121094    TIME:1.2963449954986572
@epoch141   Train loss:330.77244873046874   Valid loss:332.58936767578126    TIME:1.3022572994232178
@epoch142   Train loss:330.41808166503904   Valid loss:331.44556884765626    TIME:1.2955613136291504
@epoch143   Train loss:329.7417022705078   Valid loss:332.1632568359375    TIME:1.2976934909820557
@epoch144   Train loss:329.3487289428711   Valid loss:332.0341491699219    TIME:1.2942509651184082
@epoch145   Train loss:329.1407180786133   Valid loss:331.18690185546876    TIME:1.2802376747131348
@epoch146   Train loss:329.37463531494143   Valid loss:334.1302429199219    TIME:1.2980506420135498
@epoch147   Train loss:330.8965545654297   Valid loss:331.97105102539064    TIME:1.2847955226898193
@epoch148   Train loss:328.70869598388674   Valid loss:331.119873046875    TIME:1.2813143730163574
@epoch149   Train loss:329.60540466308595   Valid loss:330.7608337402344    TIME:1.2876482009887695
@epoch150   Train loss:327.825749206543   Valid loss:331.392333984375    TIME:1.272106409072876
@epoch151   Train loss:328.851123046875   Valid loss:331.3710021972656    TIME:1.2766592502593994
@epoch152   Train loss:327.43218383789065   Valid loss:329.83201904296874    TIME:1.2811992168426514
@epoch153   Train loss:328.03924560546875   Valid loss:330.83380737304685    TIME:1.2855572700500488
@epoch154   Train loss:328.148014831543   Valid loss:332.50745849609376    TIME:1.2926979064941406
@epoch155   Train loss:327.95004119873045   Valid loss:330.61383666992185    TIME:1.28269624710083
@epoch156   Train loss:328.96001586914065   Valid loss:331.5334838867187    TIME:1.3019378185272217
@epoch157   Train loss:327.3478118896484   Valid loss:330.31273193359374    TIME:1.2818000316619873
@epoch158   Train loss:326.981867980957   Valid loss:329.71494750976564    TIME:1.2793498039245605
@epoch159   Train loss:327.5324645996094   Valid loss:332.0926879882812    TIME:1.2830262184143066
@epoch160   Train loss:327.34701080322264   Valid loss:330.36280517578126    TIME:1.284719705581665
@epoch161   Train loss:326.74268951416013   Valid loss:330.0359252929687    TIME:1.278655767440796
@epoch162   Train loss:329.5289535522461   Valid loss:330.49989624023436    TIME:1.2859861850738525
@epoch163   Train loss:329.50054626464845   Valid loss:332.13396606445315    TIME:1.2912285327911377
@epoch164   Train loss:327.22654418945314   Valid loss:332.3273620605469    TIME:1.292309284210205
@epoch165   Train loss:325.48139038085935   Valid loss:329.6436828613281    TIME:1.2917559146881104
@epoch166   Train loss:325.21077117919924   Valid loss:329.5438598632812    TIME:1.275881290435791
@epoch167   Train loss:328.4682586669922   Valid loss:333.2105712890625    TIME:1.3086204528808594
@epoch168   Train loss:331.70531311035154   Valid loss:334.7433715820313    TIME:1.303354024887085
@epoch169   Train loss:330.1711486816406   Valid loss:331.34368896484375    TIME:1.2842636108398438
@epoch170   Train loss:327.2619598388672   Valid loss:331.44447021484376    TIME:1.2735397815704346
@epoch171   Train loss:326.3961608886719   Valid loss:330.04591064453126    TIME:1.274566650390625
@epoch172   Train loss:327.1472793579102   Valid loss:332.1233825683594    TIME:1.287632703781128
@epoch173   Train loss:326.4162307739258   Valid loss:330.2768859863281    TIME:1.273604393005371
@epoch174   Train loss:328.60658569335936   Valid loss:330.129736328125    TIME:1.280186414718628
@epoch175   Train loss:325.96363067626953   Valid loss:338.8363891601563    TIME:1.2796270847320557
@epoch176   Train loss:328.39195556640624   Valid loss:330.6487060546875    TIME:1.4153649806976318
@epoch177   Train loss:325.87183380126953   Valid loss:330.2027648925781    TIME:1.2488887310028076
@epoch178   Train loss:325.9345336914063   Valid loss:329.61821899414065    TIME:1.2750861644744873
@epoch179   Train loss:327.5237548828125   Valid loss:329.6548583984375    TIME:1.2820725440979004
@epoch180   Train loss:326.4701263427734   Valid loss:330.4831481933594    TIME:1.2787373065948486
@epoch181   Train loss:326.2892242431641   Valid loss:330.3548278808594    TIME:1.281846284866333
@epoch182   Train loss:324.99608459472654   Valid loss:329.7264404296875    TIME:1.2788300514221191
@epoch183   Train loss:325.76149291992186   Valid loss:330.27382202148436    TIME:1.2860944271087646
@epoch184   Train loss:326.0121795654297   Valid loss:330.45347290039064    TIME:1.2729675769805908
@epoch185   Train loss:326.47105865478517   Valid loss:332.38128662109375    TIME:1.2839109897613525
@epoch186   Train loss:326.88578643798826   Valid loss:329.8199096679688    TIME:1.2817492485046387
@epoch187   Train loss:325.6938674926758   Valid loss:328.46312255859374    TIME:1.2806146144866943
@epoch188   Train loss:323.4210632324219   Valid loss:331.294287109375    TIME:1.280076265335083
@epoch189   Train loss:326.59979858398435   Valid loss:330.5685119628906    TIME:1.3079240322113037
@epoch190   Train loss:324.46407318115234   Valid loss:328.5486633300781    TIME:1.2783546447753906
@epoch191   Train loss:323.434130859375   Valid loss:327.9203857421875    TIME:1.2807717323303223
@epoch192   Train loss:332.6836410522461   Valid loss:330.9141540527344    TIME:1.2780778408050537
@epoch193   Train loss:327.11519012451174   Valid loss:330.0037475585938    TIME:1.3075902462005615
